,PLAYER,TEAM,GP,MPG,PTS,FGM-FGA,FG%,3PM-3PA,3P%,FTM-FTA,FT%,RK,YEAR
35,"Chavis Holmes, G",VMI,32,25.2,19.2,5.9-14.4,.409,3.4-8.7,.390,4.1-5.5,.744,36,2007
36,"Rob McKiver, G",HOU,33,37.5,19.2,6.1-16.1,.378,3.5-10.4,.338,3.5-4.8,.725,37,2007
37,"Stefan Blaszczynski, G",NICH,24,35.8,19.2,6.2-13.6,.456,1.7-4.9,.350,5.0-6.5,.781,38,2007
38,"Jared Dudley, F",BC,28,38.6,19.0,6.4-11.3,.562,1.4-3.0,.458,5.0-6.6,.747,39,2007
39,"Demetris Nichols, F",SYR,32,34.8,19.0,6.5-14.4,.450,2.9-6.7,.428,3.1-3.7,.847,40,2007
40,"Sean Singletary, G",UVA,30,33.1,18.9,5.2-13.2,.396,2.5-6.4,.396,5.9-6.7,.881,41,2007
41,"Carl Landry, F",PUR,32,29.9,18.9,6.4-10.7,.598,0.1-0.6,.167,6.0-8.3,.723,42,2007
42,"Tre' Kelley, G",SC,29,36.7,18.9,6.8-15.7,.436,1.9-5.4,.350,3.3-4.1,.800,43,2007
43,"Quin Humphrey, G",YSU,31,35.6,18.8,6.1-14.1,.433,2.1-5.5,.378,4.5-5.9,.775,44,2007
44,"Giordan Watson, G",CMU,31,34.5,18.8,6.0-14.7,.409,2.1-5.4,.386,4.7-5.7,.825,45,2007
45,"Andre Harris, F",FDU,30,36.6,18.8,7.6-15.4,.490,0.3-1.1,.313,3.3-4.8,.683,46,2007
46,"Chris Oliver, F",RAD,30,36.6,18.8,7.3-15.1,.487,0.5-2.1,.258,3.6-4.8,.748,47,2007
47,"Aaron Nixon, G",LBSU,31,33.1,18.6,6.1-15.0,.409,2.5-6.4,.387,3.9-5.3,.742,48,2007
48,"Stefon Jackson, G",UTEP,31,32.0,18.6,6.3-13.6,.460,1.0-3.1,.320,5.1-7.1,.726,49,2007
49,"Jamar Wilson, G",ALBY,32,36.3,18.6,6.3-13.8,.452,1.3-3.4,.382,4.8-6.4,.750,50,2007
50,"Aleks Maric, C",NEB,30,28.8,18.5,6.8-12.0,.565,0.1-0.3,.300,4.9-7.2,.681,51,2007
51,"Brian Roberts, G",DAY,31,35.6,18.5,5.8-12.5,.464,2.6-5.8,.458,4.3-4.8,.899,52,2007
52,"Carlos Monroe, F",FAU,27,31.2,18.4,7.4-12.4,.597,0.0-0.0,.000,3.6-5.9,.600,53,2007
53,"Nick Aldridge, F",WCU,30,32.5,18.3,6.8-14.7,.461,0.3-1.2,.243,4.4-7.0,.630,54,2007
54,"Marcelus Kemp, G",NEV,32,30.5,18.3,6.4-13.8,.463,2.5-6.0,.415,3.0-3.8,.793,55,2007
55,"Derek Raivio, G",GONZ,33,36.2,18.2,5.6-12.4,.455,2.5-6.1,.411,4.4-4.6,.961,56,2007
56,"Mark Zoller, F",PENN,30,31.2,18.2,6.6-11.7,.566,1.3-3.4,.382,3.7-4.7,.782,57,2007
57,"Brad Jones, G",WYO,30,37.1,18.1,5.2-13.2,.396,1.1-3.4,.311,6.6-8.4,.783,58,2007
58,"Herb Courtney, F",DEL,31,36.7,18.1,6.2-14.5,.424,1.3-4.2,.318,4.5-6.3,.709,59,2007
59,"Keoni Watson, G",IDHO,30,31.4,18.1,6.4-14.5,.439,2.3-5.8,.405,3.0-3.9,.778,60,2007
60,"Randall Gulina, G",SAM,32,33.3,18.1,5.8-12.5,.460,2.5-6.7,.374,4.1-5.1,.799,61,2007
61,"Drew Neitzel, G",MSU,33,35.5,18.1,5.6-13.0,.434,3.2-7.7,.417,3.6-4.1,.881,62,2007
62,"Brandon Cotton, G",DET,30,33.0,18.1,6.9-14.5,.474,1.4-3.6,.385,2.9-4.3,.677,63,2007
63,"Tyler Hansbrough, F",UNC,34,29.5,18.1,5.9-11.3,.525,0.0-0.1,.250,6.1-8.0,.766,64,2007
64,"Herbert Hill, F-C",PROV,30,31.8,18.0,7.7-12.1,.639,0.0-0.0,.000,2.6-4.3,.602,65,2007
65,"Zabian Dowdell, G",VT,32,33.6,18.0,6.0-12.8,.468,1.3-3.5,.387,4.8-5.8,.813,66,2007
66,"Acie Law IV, G",TAMU,31,33.6,17.9,6.4-12.5,.513,1.1-2.5,.449,4.0-5.2,.765,67,2007
67,"Courtney Pigram, G",ETSU,33,33.4,17.8,6.2-15.4,.405,2.6-7.1,.368,2.8-4.0,.684,68,2007
68,"Belton Rivers, G",TNTC,32,33.4,17.8,5.7-14.3,.398,2.9-7.9,.364,3.6-4.8,.745,69,2007
69,"J.R. Reynolds, G",UVA,30,32.2,17.8,5.5-13.1,.417,1.8-5.0,.353,5.1-6.2,.827,70,2007
70,"Rashad West, G",HAMP,31,31.0,17.8,5.2-13.1,.395,2.3-5.9,.393,5.1-6.4,.803,71,2007
71,"Glen Davis, F",LSU,29,35.0,17.7,6.1-12.7,.484,0.6-1.7,.347,4.8-6.7,.713,72,2007
72,"Aaron Brooks, G",ORE,31,36.8,17.6,6.0-13.1,.458,2.3-5.7,.407,3.3-4.0,.829,73,2007
73,"Jared Jordan, G",MRST,31,37.8,17.6,6.2-14.1,.437,1.7-5.7,.305,3.5-5.2,.683,74,2007
74,"De'Angelo Alexander, G-F",CHAR,30,35.0,17.6,5.9-14.8,.400,2.6-7.8,.335,3.2-4.1,.787,75,2007
75,"Nate Funk, G",CREI,32,34.2,17.6,6.0-12.6,.478,1.7-4.6,.370,3.9-4.5,.867,76,2007
76,"JamesOn Curry, G",OKST,34,36.9,17.5,5.8-12.8,.455,2.5-6.0,.415,3.4-4.3,.793,77,2007
77,"Jeremy Wise, G",USM,31,33.4,17.5,5.7-14.2,.401,1.7-4.8,.358,4.4-5.3,.834,78,2007
78,"Will Daniels, F",URI,33,28.3,17.4,5.5-11.1,.490,1.5-3.7,.418,5.0-6.5,.763,79,2007
79,"David Dees, G",ULL,29,35.6,17.4,5.7-14.0,.404,0.9-3.7,.252,5.1-6.6,.776,80,2007
80,"Tywain McKee, G",COPP,32,34.0,17.4,5.6-14.0,.401,1.8-5.5,.316,4.4-5.7,.769,81,2007
81,"Nick Young, G-F",USC,34,33.0,17.4,6.5-12.2,.529,1.2-2.6,.455,3.2-4.2,.764,82,2007
82,"Keith Simmons, G",HC,33,35.5,17.3,5.8-11.4,.504,1.5-4.3,.359,4.3-5.5,.770,83,2007
83,"Courtney Lee, G",WKU,30,30.6,17.3,6.2-13.2,.472,1.9-4.7,.401,3.0-3.5,.840,84,2007
84,"Curtis Sumpter, F",NOVA,31,30.2,17.3,5.7-12.6,.451,1.6-4.4,.370,4.4-5.4,.804,85,2007
85,"Tristan Blackwood, G",CCSU,33,36.5,17.3,5.4-13.6,.396,3.6-9.2,.389,2.9-3.2,.924,86,2007
86,"Jonathan Rodriguez, F",CAMP,31,33.2,17.3,5.9-12.7,.468,0.6-2.2,.290,4.8-6.7,.708,87,2007
87,"Richard Roby, G",COLO,27,32.1,17.3,5.9-15.3,.383,1.4-5.1,.268,4.2-5.7,.734,88,2007
88,"Russell Carter, G",ND,31,30.4,17.2,6.0-13.8,.432,2.7-6.7,.406,2.6-3.6,.721,89,2007
89,"Tyrese Rice, G",BC,31,36.4,17.2,5.5-12.0,.457,1.7-5.4,.317,4.5-5.7,.781,90,2007
90,"Anthony Fisher, G",TNTC,32,34.8,17.2,5.0-12.0,.417,1.9-5.8,.333,5.2-6.5,.799,91,2007
91,"Keena Young, F",BYU,33,28.6,17.2,6.8-12.5,.549,0.0-0.0,.000,3.5-4.3,.797,92,2007
92,"Ross Mouton, G-F",ULL,30,32.6,17.1,6.3-15.3,.414,2.3-6.3,.362,2.2-3.0,.725,93,2007
93,"Will Whittington, G-F",MRST,32,37.3,17.1,5.2-13.1,.397,4.0-9.9,.402,2.8-3.6,.781,94,2007
94,"Brandon Costner, F",NCST,33,34.5,17.1,5.5-11.5,.476,1.8-4.6,.384,4.4-6.2,.719,95,2007
95,"Blake Schilb, G",L-IL,31,33.4,17.0,5.8-12.8,.452,1.7-4.8,.356,3.8-4.4,.854,96,2007
96,"Courtney Bradley, F",JVST,30,32.7,17.0,6.2-13.5,.462,1.1-3.1,.348,3.5-4.5,.776,97,2007
97,"Andre Smith, F",NDSU,28,31.7,17.0,7.0-13.1,.536,0.3-0.9,.308,2.7-4.1,.667,98,2007
98,"A.J. Graves, G",BUT,32,35.3,17.0,4.9-13.1,.376,2.8-7.9,.354,4.3-4.5,.958,99,2007
99,"Kyle Visser, C",WAKE,31,29.0,17.0,6.1-10.4,.584,0.0-0.1,.000,4.8-7.5,.644,100,2007
100,"Cartier Martin, F",KSU,33,27.0,16.9,5.5-12.0,.461,2.2-5.4,.397,3.7-4.5,.819,101,2007
101,"Quinton Day, G",UMKC,32,36.9,16.9,5.7-14.3,.399,2.9-7.6,.380,2.7-3.4,.789,102,2007
102,"Matt Webster, F",EVAN,31,27.9,16.9,4.8-9.6,.502,0.6-1.2,.486,6.7-9.1,.734,103,2007
103,"Matthew Lojeski, G",HAW,32,35.1,16.9,6.2-11.5,.539,1.4-3.7,.373,3.1-3.8,.811,104,2007
104,"Greg Sprink, G",NAVY,30,34.2,16.9,5.2-11.5,.454,2.2-5.8,.379,4.2-4.9,.864,105,2007
105,"Jarell Brown, G",ARMY,31,28.0,16.9,5.8-13.8,.417,2.8-6.9,.407,2.5-2.9,.857,106,2007
106,"A.J. Jackson, F",RMU,28,35.4,16.9,6.2-13.3,.466,1.5-4.2,.350,3.0-3.6,.850,107,2007
107,"David Schroeder, G",IDST,30,36.4,16.8,5.7-12.9,.438,2.6-6.2,.422,2.9-3.8,.761,108,2007
108,"Luke Nevill, C",UTAH,29,31.3,16.8,6.2-9.8,.637,0.0-0.0,.000,4.3-5.9,.741,109,2007
109,"Derrick Byars, G-F",VAN,31,30.9,16.8,6.0-13.1,.462,2.2-6.1,.363,2.5-3.6,.696,110,2007
110,"Jason Smith, F",CSU,30,30.2,16.8,5.8-10.1,.579,0.0-0.1,.000,5.1-6.7,.770,111,2007
111,"Steven Rush, G",NCAT,31,26.5,16.8,5.1-12.2,.414,3.7-9.3,.401,2.9-3.4,.858,112,2007
112,"Marcus Williams, F",ARIZ,29,32.8,16.8,6.6-13.3,.496,0.8-2.7,.295,2.7-4.0,.687,113,2007
113,"Jack McClinton, G",MIA,31,31.5,16.7,5.3-13.0,.404,2.9-6.7,.440,3.3-3.7,.895,114,2007
114,"Javier Mojica, G",CCSU,33,36.2,16.7,6.0-13.3,.448,2.1-5.1,.408,2.7-3.6,.754,115,2007
115,"Arron Afflalo, G",UCLA,31,32.9,16.7,5.9-12.6,.467,2.5-6.5,.379,2.5-3.2,.770,116,2007
116,"Maurice Sumter, G-F",LONG,31,35.8,16.7,6.5-13.7,.471,1.2-2.7,.429,2.6-3.7,.704,117,2007
117,"Matt Murrer, F",VMI,31,27.7,16.6,6.3-12.5,.505,2.0-6.5,.312,2.0-2.6,.763,118,2007
118,"Brian Laing, G-F",HALL,29,36.3,16.5,6.4-13.9,.463,0.7-2.3,.318,3.0-3.9,.761,119,2007
119,"Eugene Harvey, G",HALL,29,35.4,16.5,5.7-12.3,.465,0.4-1.3,.308,4.7-5.6,.839,120,2007
0,"Reggie Williams, F",VMI,25,35.1,27.8,10.8-20.4,.528,1.7-6.2,.279,4.6-6.8,.671,1,2008
1,"Charron Fisher, G-F",NIAG,29,37.4,27.6,8.8-22.2,.397,2.4-7.5,.318,7.6-9.8,.771,2,2008
2,"Michael Beasley, F",KSU,31,31.5,26.5,9.4-17.6,.535,1.1-2.9,.389,6.5-8.5,.767,3,2008
3,"Lester Hudson, G",UTM,33,36.9,25.7,8.8-19.0,.464,3.8-9.7,.388,4.3-5.1,.834,4,2008
4,"Stephen Curry, G",DAV,32,32.5,25.1,8.6-17.7,.486,4.3-9.9,.438,3.6-4.0,.898,5,2008
5,"Arizona 'AZ' Reid, F",HP,31,35.3,23.9,9.8-18.4,.532,1.1-2.9,.378,3.2-4.3,.746,6,2008
6,"Stefon Jackson, G",UTEP,32,35.0,23.7,7.9-16.9,.465,1.0-3.1,.330,6.9-9.5,.729,7,2008
7,"Ryan Toolson, G",UVU,29,37.9,23.4,7.2-15.2,.476,3.6-8.1,.436,5.4-5.7,.951,8,2008
8,"Bo McCalebb, G",UNO,32,33.3,23.2,8.2-16.1,.506,1.5-3.6,.405,5.4-7.0,.772,9,2008
9,"Rob McKiver, G",HOU,31,34.9,23.1,6.7-17.1,.395,4.2-10.9,.383,5.5-6.2,.885,10,2008
10,"David Holston, G",CHS,28,33.3,23.1,7.2-16.8,.430,4.6-11.5,.404,4.0-4.7,.848,11,2008
11,"Tyler Hansbrough, F",UNC,34,32.9,23.0,7.4-13.6,.540,0.0-0.1,.000,8.3-10.1,.817,12,2008
12,"Antoine Agudio, G",HOF,27,39.1,22.7,7.7-17.8,.431,3.1-7.6,.410,4.2-5.4,.776,13,2008
13,"Jaycee Carroll, G",USU,34,37.2,22.6,7.7-14.5,.533,3.3-6.5,.507,3.9-4.2,.923,14,2008
14,"Greg Sprink, G",NAVY,30,34.5,21.8,6.3-17.4,.361,2.5-8.5,.299,6.6-7.7,.858,15,2008
15,"DeMario Anderson, G",QUIN,28,33.0,21.7,7.9-17.6,.447,1.3-3.4,.372,4.7-5.9,.805,16,2008
16,"Robert Vaden, G-F",UAB,31,35.4,21.6,6.8-16.5,.414,4.5-10.9,.412,3.5-4.0,.872,17,2008
17,"George Hill, G",IUPU,32,36.8,21.5,6.9-12.6,.545,1.5-3.4,.450,6.2-7.7,.812,18,2008
18,"Eric Gordon, G",IND,31,34.6,21.3,5.8-13.2,.441,2.3-6.5,.347,7.4-8.7,.845,19,2008
19,"Ryan Anderson, F",CAL,31,32.7,21.3,7.0-14.3,.491,2.0-4.8,.412,5.3-6.0,.876,20,2008
20,"Donovan Morris, G",LBSU,31,37.5,21.2,6.5-14.1,.461,2.4-5.8,.417,5.7-6.7,.847,21,2008
21,"Tyrese Rice, G",BC,30,38.1,21.0,6.7-15.4,.433,2.1-6.0,.358,5.5-6.5,.846,22,2008
22,"Jonathan Rodriguez, F",CAMP,30,35.0,20.9,6.7-13.8,.488,0.5-1.7,.275,6.9-9.1,.765,23,2008
23,"Jermaine Taylor, G",UCF,31,33.5,20.8,7.5-16.2,.461,2.5-6.9,.367,3.4-4.3,.795,24,2008
24,"Manny Ubilla, G",FDU,28,38.4,20.8,6.4-14.6,.435,3.3-7.8,.429,4.8-5.8,.816,25,2008
25,"Luke Harangody, F",ND,31,28.7,20.8,8.0-15.5,.515,0.1-0.3,.375,4.7-6.1,.767,26,2008
26,"O.J. Mayo, G",USC,32,36.8,20.8,7.2-16.3,.444,2.7-6.6,.408,3.6-4.5,.800,27,2008
27,"Ben Woodside, G",NDSU,29,36.6,20.7,6.3-13.7,.461,2.1-5.4,.397,5.9-7.1,.830,28,2008
28,"Geoff Payne, F",SUU,30,35.7,20.6,7.3-12.9,.567,0.0-0.1,.000,6.0-8.7,.690,29,2008
29,"Jason Thompson, F",RID,33,34.5,20.6,8.2-14.6,.558,0.3-1.0,.303,4.0-6.8,.582,30,2008
30,"Shan Foster, G-F",VAN,33,33.7,20.5,7.2-13.6,.526,4.0-8.5,.473,2.2-2.9,.760,31,2008
31,"Dior Lowhorn, F",SF,31,36.6,20.5,8.1-15.8,.513,0.3-1.1,.257,4.0-5.6,.707,32,2008
32,"Courtney Lee, G",WKU,33,29.4,20.4,7.2-14.6,.491,1.8-4.8,.389,4.2-5.1,.826,33,2008
33,"Alex Harris, G",UCSB,30,32.3,20.2,6.0-14.0,.432,2.4-5.6,.429,5.8-7.2,.805,34,2008
34,"Dionte Christmas, G",TEM,33,37.3,20.2,6.3-14.1,.448,3.2-8.3,.380,4.4-5.7,.775,35,2008
35,"Ed Tyson, G",UMES,32,36.8,20.2,6.8-18.3,.374,2.3-7.1,.323,4.2-5.5,.763,36,2008
36,"Gary Forbes, G-F",UMASS,31,34.0,20.1,6.7-16.1,.418,1.7-5.5,.316,5.0-6.9,.716,37,2008
37,"Demetric Bennett, G",USA,32,34.8,20.1,6.6-13.6,.485,2.8-6.8,.411,4.1-4.9,.834,38,2008
38,"Jerryd Bayless, G",ARIZ,29,35.6,20.0,5.8-12.7,.459,2.0-4.9,.408,6.4-7.6,.837,39,2008
39,"Josh Akognon, G",CSF,31,31.5,19.9,6.5-14.5,.448,3.6-9.1,.392,3.3-3.7,.904,40,2008
40,"Sean Singletary, G",UVA,30,34.1,19.9,6.1-14.4,.423,1.8-4.8,.368,5.9-6.9,.855,41,2008
41,"Marcelus Kemp, G",NEV,32,32.0,19.8,6.6-14.9,.444,2.1-5.6,.378,4.5-5.2,.861,42,2008
42,"D.J. Augustin, G",TEX,34,37.2,19.8,6.5-14.5,.450,2.0-5.2,.381,4.8-6.1,.791,43,2008
43,"Marcus Thornton, G",LSU,31,33.6,19.6,6.8-15.7,.436,2.9-7.7,.377,3.0-3.7,.817,44,2008
44,"Reggie Larry, F",BSU,33,34.2,19.6,7.2-13.4,.538,1.1-2.6,.435,4.1-6.3,.647,45,2008
45,"Jon Goode, G",DET,26,34.4,19.3,6.6-14.5,.452,3.0-6.8,.446,3.1-4.0,.786,46,2008
46,"Brett Winkelman, F",NDSU,29,31.8,19.2,6.7-12.9,.516,1.0-2.2,.438,5.0-6.1,.818,47,2008
47,"Kyle Hines, F",UNCG,31,32.3,19.2,7.6-13.6,.556,0.0-0.3,.125,4.0-6.4,.628,48,2008
48,"Brook Lopez, F",STAN,24,31.5,19.2,6.8-14.5,.467,0.0-0.3,.000,5.6-7.3,.771,49,2008
49,"Roy Bright, G",DSU,28,36.2,19.1,7.0-16.4,.426,2.8-7.9,.355,2.4-3.0,.807,50,2008
50,"Leemire Goldwire, G",CHAR,33,33.2,19.0,5.8-15.4,.379,3.8-11.0,.348,3.6-4.4,.808,51,2008
51,"Marqus Blakely, F",UVM,29,34.0,19.0,6.8-12.4,.550,0.0-0.2,.167,5.3-9.3,.565,52,2008
52,"James Florence, G",MER,28,32.0,19.0,6.4-18.1,.353,2.4-8.6,.277,3.8-5.7,.663,53,2008
53,"Nick Aldridge, F",WCU,5,32.4,18.8,7.8-19.6,.398,1.2-3.4,.353,2.0-3.6,.556,54,2008
54,"Will Daniels, F",URI,32,28.7,18.7,7.0-13.9,.503,1.4-3.8,.358,3.3-4.8,.690,55,2008
55,"Jeremy Wise, G",USM,33,34.5,18.7,5.7-13.6,.421,1.2-3.9,.318,6.0-7.3,.818,56,2008
56,"Brian Laing, G-F",HALL,32,38.3,18.6,6.8-15.0,.455,1.2-3.1,.374,3.8-4.8,.803,57,2008
57,"Gerald Brown, G",L-MD,33,31.4,18.6,5.4-13.7,.393,2.0-5.8,.351,5.8-7.3,.792,58,2008
58,"Sean Baptiste, G",FDU,25,36.8,18.5,6.0-12.7,.476,1.2-3.5,.356,5.2-6.8,.763,59,2008
59,"Brian Roberts, G",DAY,31,34.6,18.4,6.1-12.7,.478,2.9-6.4,.447,3.3-3.9,.858,60,2008
60,"Adrian Banks, G",ARST,21,30.1,18.4,6.0-12.6,.475,2.4-5.5,.443,4.0-4.8,.822,61,2008
61,"Devan Downey, G",SC,32,37.4,18.4,6.8-16.1,.423,1.7-4.7,.351,3.1-4.2,.733,62,2008
62,"Chavis Holmes, G",VMI,29,30.9,18.3,6.4-14.4,.444,2.8-7.9,.360,2.7-3.8,.709,63,2008
63,"Sam Young, F",PITT,35,32.2,18.3,7.0-13.8,.506,1.2-3.1,.393,3.1-4.6,.681,64,2008
64,"Kevin Bell, G",FRES,32,37.5,18.3,6.3-14.4,.439,1.0-2.6,.390,4.6-6.6,.698,65,2008
65,"O'Darien Bassett, G",TROY,31,30.8,18.2,6.0-14.6,.412,2.1-6.2,.342,4.1-5.0,.818,66,2008
66,"Jarell Brown, G",ARMY,30,36.4,18.2,6.3-15.0,.423,3.4-8.4,.401,2.1-2.7,.800,67,2008
67,"Carlos Taylor, G",MTST,30,29.6,18.1,6.1-13.4,.458,2.0-5.0,.397,3.9-4.8,.806,68,2008
68,"Garrison Carr, G",AMER,32,35.8,18.1,5.7-13.3,.424,4.0-8.9,.454,2.8-3.1,.890,69,2008
69,"Thomas Sanders, F",WEBB,32,32.5,18.1,6.6-13.8,.476,0.3-1.2,.211,4.7-7.3,.634,70,2008
70,"Justin Hawkins, G-F",NMSU,33,33.1,18.1,6.0-12.8,.473,1.3-3.2,.400,4.8-6.1,.781,71,2008
71,"Corey Lowe, G",BU,26,33.8,18.1,6.3-15.5,.406,3.5-9.5,.371,1.9-3.2,.610,72,2008
72,"John Bryant, C",SCU,31,27.8,18.0,6.9-11.8,.583,0.0-0.0,.000,4.2-5.6,.743,73,2008
73,"Tim Clifford, C",HC,29,32.0,18.0,7.1-12.4,.571,0.5-1.4,.333,3.3-4.3,.782,74,2008
74,"Tony Murphy, G",NORF,31,35.0,17.9,5.8-15.9,.367,2.4-7.6,.308,3.9-4.7,.829,75,2008
75,"Mike Trimboli, G",UVM,31,36.5,17.9,6.0-13.7,.438,2.0-5.7,.356,3.9-4.5,.864,76,2008
76,"Ricky Harris, G",UMASS,31,32.3,17.9,5.6-13.3,.423,2.7-7.3,.366,4.0-5.2,.759,77,2008
77,"Pat Calathes, G-F",JOES,33,33.5,17.8,5.7-12.5,.455,2.2-5.5,.403,4.3-5.2,.825,78,2008
78,"Torre Johnson, F",MILW,10,30.2,17.8,6.8-13.5,.504,0.3-1.3,.231,3.9-4.6,.848,79,2008
79,"Eric Maynor, G",VCU,31,34.8,17.8,6.1-13.1,.462,1.6-3.9,.405,4.1-5.3,.764,80,2008
80,"Richard Hendrix, F",ALA,32,30.6,17.8,7.2-12.0,.598,0.1-0.2,.286,3.4-6.3,.537,81,2008
81,"Jon Brockman, F",WASH,31,31.7,17.6,7.4-13.8,.531,0.0-0.0,.000,2.9-5.6,.520,82,2008
82,"James Harden, G",ASU,31,33.8,17.6,5.7-10.7,.529,1.3-3.1,.421,5.0-6.5,.759,83,2008
83,"Draelon Burns, G",DEP,30,32.1,17.6,5.8-14.3,.402,2.1-6.1,.346,4.0-4.9,.810,84,2008
84,"Bruce Price, G",TNST,32,34.0,17.6,5.0-12.3,.405,1.7-5.2,.325,5.9-8.4,.701,85,2008
85,"Kyle Landry, F",NAU,32,25.5,17.5,5.9-10.1,.585,0.0-0.0,.000,5.7-8.1,.707,86,2008
86,"Michael Lee, F",SBON,30,36.3,17.5,6.4-13.2,.486,1.1-2.8,.381,3.6-5.1,.704,87,2008
87,"Geary Claxton, G-F",PSU,16,30.6,17.5,6.5-13.1,.495,1.3-3.6,.362,3.2-5.8,.554,88,2008
88,"Donte Greene, F",SYR,32,35.5,17.5,6.1-14.8,.413,2.5-7.4,.332,2.8-3.8,.732,89,2008
89,"Nate Bowie, G",UCA,30,35.2,17.5,5.1-12.7,.400,2.0-6.0,.335,5.3-6.9,.773,90,2008
90,"Joe Crawford, F",UK,29,33.4,17.3,6.0-13.1,.462,2.0-5.7,.352,3.3-4.2,.779,91,2008
91,"Jamont Gordon, G-F",MSST,32,34.4,17.3,5.8-13.6,.423,1.8-5.5,.316,4.1-5.8,.708,92,2008
92,"Edwin Ubiles, G-F",SIE,32,33.2,17.3,7.0-13.1,.533,1.1-2.4,.442,2.3-3.2,.713,93,2008
93,"D.J. White, F",IND,32,33.4,17.3,6.4-10.7,.604,0.0-0.1,.333,4.4-6.3,.693,94,2008
94,"Greivis Vasquez, G",MD,32,36.9,17.3,6.0-13.7,.437,1.9-6.0,.311,3.5-4.5,.776,95,2008
95,"Derick Nelson, F",OAK,31,33.9,17.3,5.7-12.7,.446,0.6-1.9,.322,5.3-8.3,.638,96,2008
96,"Rashad West, G",HAMP,30,31.5,17.2,5.3-14.0,.380,2.1-6.5,.320,4.5-6.2,.722,97,2008
97,"Brandon Ewing, G",WYO,30,38.0,17.2,5.4-12.5,.431,2.0-5.6,.357,4.4-5.4,.826,98,2008
98,"Chris Douglas-Roberts, G",MEM,34,27.7,17.2,6.4-11.6,.551,1.2-2.6,.449,3.2-4.8,.675,99,2008
99,"Deonta Vaughn, G",CIN,31,33.2,17.1,5.5-12.7,.431,2.9-7.5,.389,3.2-4.0,.800,100,2008
100,"Dominique Jones, G",USF,31,35.0,17.1,5.7-12.4,.460,1.7-4.9,.353,4.0-5.2,.759,101,2008
101,"Marquis Weddle, G",UTM,33,34.8,17.1,6.0-14.8,.409,3.0-8.9,.337,2.1-2.8,.747,102,2008
102,"Kevin Love, C",UCLA,34,29.2,17.1,5.6-10.1,.557,0.7-1.9,.359,5.2-6.8,.763,103,2008
103,"Dane Brumagin, F",UMKC,30,29.6,17.1,5.6-12.1,.462,2.6-5.8,.451,3.3-3.8,.867,104,2008
104,"Marcus Walker, G",CSU,32,33.4,17.1,6.4-14.6,.441,1.8-6.1,.297,2.4-3.1,.770,105,2008
105,"Josh Mayo, G",UIC,33,32.4,17.1,5.3-11.5,.459,2.8-6.1,.470,3.7-4.4,.841,106,2008
106,"Anthony Fisher, G",TNTC,32,33.2,17.1,4.9-11.6,.424,1.5-5.0,.294,5.8-7.6,.761,107,2008
107,"Richard Roby, G",COLO,32,34.7,17.0,5.9-12.4,.477,1.5-3.8,.382,3.8-4.9,.764,108,2008
108,"Jack McClinton, G",MIA,30,31.1,17.0,5.4-12.8,.421,2.9-6.8,.426,3.3-3.6,.908,109,2008
109,"Jamar Smith, G",MORG,29,30.4,17.0,6.5-13.8,.469,1.0-2.8,.341,3.1-4.3,.712,110,2008
110,"Eric Devendorf, G",SYR,10,34.2,17.0,6.1-13.1,.466,2.2-5.4,.407,2.6-3.5,.743,111,2008
111,"Chase Budinger, F",ARIZ,33,35.2,17.0,5.9-13.5,.441,2.2-5.7,.378,2.9-4.1,.719,112,2008
112,"A.J. Ogilvy, C",VAN,33,26.3,17.0,5.9-9.9,.593,0.0-0.1,.000,5.2-6.7,.778,113,2008
113,"Matt Gibson, G",HAW,25,34.3,17.0,5.5-11.8,.466,1.5-4.9,.309,4.5-5.6,.800,114,2008
114,"Brandon Johnson, G",USD,33,34.8,16.9,5.9-14.0,.424,2.2-6.0,.374,2.8-4.4,.641,115,2008
115,"Anthony Newell, F",BALL,21,35.4,16.9,6.1-15.2,.401,0.9-3.0,.286,3.9-6.0,.638,116,2008
116,"Charles Rhodes, F-C",MSST,29,31.2,16.9,6.8-12.2,.555,0.1-0.2,.500,3.2-4.8,.664,117,2008
117,"Ray Barbosa, G",UMBC,32,33.4,16.9,5.5-12.8,.433,2.6-7.0,.377,3.2-3.8,.836,118,2008
118,"Kirk Williams, F",LONG,31,32.8,16.9,6.3-14.1,.445,1.2-3.8,.308,3.1-4.9,.638,119,2008
119,"Tyrone Kent, G-F",TOL,30,35.5,16.9,5.3-14.5,.363,2.2-7.1,.311,4.1-5.3,.775,120,2008
0,"Stephen Curry, G",DAV,32,33.5,28.6,9.1-20.0,.456,3.8-9.9,.382,6.6-7.5,.876,1,2009
1,"Lester Hudson, G",UTM,31,35.9,27.3,9.7-21.7,.447,3.2-9.1,.355,4.7-5.3,.879,2,2009
2,"Jermaine Taylor, G",UCF,31,31.9,26.2,9.4-19.5,.480,3.0-7.9,.376,4.5-5.5,.812,3,2009
3,"David Holston, G",CHS,32,34.9,25.9,8.4-19.8,.426,4.6-12.3,.372,4.5-5.5,.824,4,2009
4,"Stefon Jackson, G",UTEP,31,36.2,24.2,7.3-17.5,.419,0.8-2.7,.301,8.8-10.5,.840,5,2009
5,"Jodie Meeks, G",UK,33,34.5,24.2,7.5-16.3,.462,3.3-8.2,.401,5.9-6.6,.894,6,2009
6,"Josh Akognon, G",CSF,32,35.6,23.9,7.8-19.3,.401,4.3-11.4,.372,4.1-4.6,.892,7,2009
