,Draft_Yr,Pk,Tm,PLAYER,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP_per_game,PTS_per_game,TRB_per_game,AST_per_game,WS,WS_per_48,BPM,VORP
19,1990,20.0,MIN,Gerald Glass,University of Mississippi,4,201,3347,1553,512,298,0.433,0.236,0.643,16.7,7.7,2.5,1.5,1.8,0.025,-2.5,-0.4
20,1990,21.0,PHO,Jayson Williams,St. John's University,9,475,9805,3472,3584,287,0.44,0.125,0.606,20.6,7.3,7.5,0.6,20.0,0.098,-2.0,0.1
21,1990,22.0,NJN,Tate George,University of Connecticut,4,177,2019,736,180,325,0.414,0.071,0.82,11.4,4.2,1.0,1.8,1.3,0.032,-5.5,-1.8
22,1990,23.0,SAC,Anthony Bonner,Saint Louis University,6,318,7372,2199,1726,442,0.468,0.125,0.59,23.2,6.9,5.4,1.4,10.8,0.07,-0.5,2.8
23,1990,24.0,SAS,Dwayne Schintzius,University of Florida,8,217,1950,587,536,93,0.404,0.125,0.638,9.0,2.7,2.5,0.4,1.0,0.024,-4.9,-1.4
24,1990,25.0,POR,Alaa Abdelnaby,Duke University,5,256,3200,1465,846,85,0.502,0.0,0.701,12.5,5.7,3.3,0.3,4.8,0.072,-4.8,-2.3
25,1990,26.0,DET,Lance Blanks,University of Texas at Austin,3,142,1045,289,110,117,0.436,0.253,0.667,7.4,2.0,0.8,0.8,0.7,0.031,-3.8,-0.5
26,1990,27.0,LAL,Elden Campbell,Clemson University,15,1044,25776,10805,6116,1199,0.46,0.054,0.699,24.7,10.3,5.9,1.1,62.8,0.117,-0.3,10.8
29,1990,28.0,GSW,Les Jepsen,University of Iowa,2,52,192,53,67,2,0.333,0.0,0.65,3.7,1.0,1.3,0.0,0.1,0.031,-9.2,-0.3
30,1990,29.0,CHI,Toni Kukoc,,13,846,22212,9810,3555,3119,0.447,0.335,0.729,26.3,11.6,4.2,3.7,59.6,0.129,2.4,24.7
31,1990,30.0,MIA,Carl Herrera,University of Houston,8,465,8042,2481,1690,261,0.476,0.143,0.643,17.3,5.3,3.6,0.6,9.0,0.054,-3.3,-2.6
32,1990,31.0,PHO,Negele Knight,University of Dayton,6,276,4513,1699,351,780,0.436,0.263,0.73,16.4,6.2,1.3,2.8,4.2,0.044,-4.6,-3.0
33,1990,32.0,PHI,Brian Oliver,Georgia Institute of Technology,4,118,1182,389,123,114,0.388,0.227,0.705,10.0,3.3,1.0,1.0,-0.5,-0.02,-6.4,-1.3
34,1990,33.0,UTA,Walter Palmer,Dartmouth College,2,48,209,100,65,11,0.412,0.0,0.667,4.4,2.1,1.4,0.2,-0.1,-0.013,-7.6,-0.3
35,1990,34.0,GSW,Kevin Pritchard,University of Kansas,4,94,1125,340,90,152,0.399,0.186,0.79,12.0,3.6,1.0,1.6,0.4,0.017,-5.6,-1.0
36,1990,35.0,WSB,Greg Foster,University of Texas at El Paso,13,656,7974,2538,1691,351,0.44,0.225,0.748,12.2,3.9,2.6,0.5,5.6,0.033,-5.2,-6.3
37,1990,36.0,ATL,Trevor Wilson,"University of California, Los Angeles",4,103,1609,591,353,99,0.456,0.0,0.567,15.6,5.7,3.4,1.0,0.8,0.023,-3.5,-0.6
38,1990,37.0,WSB,A.J. English,Virginia Union University,2,151,3108,1502,315,320,0.435,0.138,0.778,20.6,9.9,2.1,2.1,1.1,0.017,-5.1,-2.4
39,1990,38.0,SEA,Jud Buechler,University of Arizona,12,720,8444,2385,1266,560,0.433,0.366,0.633,11.7,3.3,1.8,0.8,16.5,0.094,-0.7,2.7
40,1990,39.0,CHH,Steve Scheffler,Purdue University,7,174,918,331,180,26,0.558,0.2,0.759,5.3,1.9,1.0,0.1,2.9,0.153,-2.1,0.0
41,1990,40.0,SAC,Bimbo Coles,Virginia Polytechnic Institute and State University,14,852,20319,6628,1820,3313,0.425,0.267,0.811,23.8,7.8,2.1,3.9,27.4,0.065,-2.1,-0.7
42,1990,41.0,ATL,Steve Bardo,University of Illinois at Urbana-Champaign,3,33,299,73,60,44,0.329,0.1,0.696,9.1,2.2,1.8,1.3,-0.1,-0.02,-4.5,-0.2
43,1990,42.0,DEN,Marcus Liberty,University of Illinois at Urbana-Champaign,4,267,4568,1942,925,244,0.417,0.34,0.664,17.1,7.3,3.5,0.9,4.0,0.042,-2.9,-1.1
44,1990,43.0,SAS,Tony Massenburg,University of Maryland,13,683,12291,4238,2964,266,0.47,0.091,0.705,18.0,6.2,4.3,0.4,15.6,0.061,-4.6,-8.0
45,1990,44.0,MIL,Steve Henson,Kansas State University,7,238,2282,739,176,465,0.403,0.432,0.869,9.6,3.1,0.7,2.0,3.8,0.079,-3.9,-1.1
46,1990,45.0,IND,Antonio Davis,University of Texas at El Paso,13,903,26084,9041,6755,1017,0.448,0.087,0.727,28.9,10.0,7.5,1.1,59.6,0.11,-0.7,8.8
47,1990,46.0,IND,Kenny Williams,Elizabeth City State University,4,260,2918,1247,693,161,0.511,0.0,0.68,11.2,4.8,2.7,0.6,7.4,0.122,0.0,1.4
