,GP,MPG,TOPG,AP40M,RK_AST,STP40M,PF,RK_STL,BLKP40M,RK_BLK,PTS,FG%,3P%,FT%,RK_SCO,FGA,3PA,FTA,ORPG,DRPG,RP40,RK_REB,PLAYER,TEAM,allstar
108,3.0,19.7,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,4.3,4.7,18.3,88.0,Eddie Davis III,USM,False
109,2.0,24.5,5.5,0.0,121.0,6.53,5.0,3.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Ehab Amin,AMCC,False
110,2.0,32.5,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,22.5,0.56,0.7,0.556,42.0,12.5,5.0,9.0,0.0,0.0,0.0,121.0,Eli Cain,DEP,False
111,4.0,33.8,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,2.5,8.0,12.4,33.0,Emmanuel Nzekwesi,ORU,False
112,2.0,34.0,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,3.5,8.5,14.1,15.0,Emmanuel Omogbo,CSU,False
113,3.0,33.3,3.0,10.8,4.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Emmett Naar,SMC,False
114,3.0,29.3,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,20.0,0.528,0.333,0.741,100.0,12.0,2.0,9.0,0.0,0.0,0.0,121.0,Eric Fanning,BU,False
115,3.0,24.7,0.0,0.0,121.0,0.0,4.0,121.0,4.32,31.0,21.0,0.618,0.0,0.808,78.0,11.3,0.0,8.7,4.3,7.0,18.4,23.0,Eric Mika,BYU,False
116,4.0,30.8,3.0,7.5,56.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Erick Neal,UTA,False
117,3.0,26.3,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,23.0,0.611,0.0,0.781,36.0,12.0,0.7,10.7,0.0,0.0,0.0,121.0,Erik Thomas,UNO,False
118,3.0,34.3,4.33333333333,6.6,65.0,4.27,11.0,7.0,0.0,121.0,21.3,0.411,0.438,0.5,75.0,18.7,5.3,7.3,0.0,0.0,0.0,121.0,Ethan Telfair,IDST,False
